sentence1_kin,sentence2_kin,human_score
Abagore babiri b'Abanyazayi barimo baririmba bambaye imyenda y'abaturage.,Umugore wambaye ikanzu y'ubururu yisinziriye inyuma afite amaso yafunze n'umunwa ushize.,0.25
@Molls30 @HillaryClinton Nkunda cyane! Umwe mu batanga impano bakomeye ni Arabiya Sawudite. Bashyigikira uburenganzira bw'abagore mu buryo bwuzuye! #GoTeam,Ni ibyemewe. Buri wese muri #GOP ubu ari umukandida wa #POTUS. Ni nde ukeneye #ubuyobozi mugihe ufite #sabobox?,0.22
"Bravo, Neal Shusterman, kongera kudutera ubwoba n'inkuru y'icyamamare izakomeza kwiza kuri benshi muri twe ubuzima bwacu bwose.",Waba uzi impamvu Neal Shusterman ari umwe mu banditsi nkunda?,0.53
"Uko bagendaga bamenyana, ni ko ubucuti bari bafitanye bwagendaga burushaho gukomera, kandi nanjye nkabonaga ko atari ibintu byanjye.","Sinzi, gusa sinemeraga ko ubucuti bwabo bwari kugenda buhinduka.",0.47
"Yego, ese ntibazashyiraho filime kugeza mu gitabo cya karindwi?",Ntekereza ko Harry Potter ashobora gupfa mu gitabo cya karindwi cy'uruhererekane.,0.62
Inshuti eshanu zo muri Aziya ziri gufotora.,umugore wo muri Aziya afata ifoto yambaye inyenyeri,0.38
Padres yatsinze imikino ibiri kuri itatu ikurikirana na Dodgers muri Petco Park .,Padres ikina imikino yo mu rugo mu kibuga cyitwa Petco Park .,0.59
"Uko bigaragara, umusaruro wacu ni uw'ingenzi kuruta uko bigaragara.","Kuri jye, Reaver ntiyari akwiriye ko Harvester amubabarira mu buryo bworoshye, ariko ibyo ni byo byabaye muri iki gitabo.",0.56
"Gusa nkunda igitekerezo cyose cy'uko Amaranthe, wahoze ari umunyacyaha, yashoboye gusobanura ibyerekeye Sicarius.","Ariko kandi, amaranthe rwose akoresha umuriro mu gihe ari ku bihereranye na Sicarius.",0.62
Yashyizwe hanze ku mugoroba wa Noheli wo mu mwaka wa 2007 .,Byatangiriye ku rubuga rwa iTunes no ku zindi mbuga nkoranyambaga .,0.62
Ntekereza ko nagombaga kwemera ko Chris Paolini ari umwanditsi utandukanye n'umwanditsi we wa mbere witwa Eragon.,"Igihe nari ndimo gusoma iki gitabo, numvaga mfite irungu.",0.34
#DonaldTrump na #JebBush ni bo byiza kurusha abandi bashobora gutanga? #HillaryClinton arabifite!,Reka tuzanire abakozi bo mu murongo w'umurimo n'abarimu bo mu mashuri y'incuke ubwiherero!!!- @amyklobuchar #inspired byhillary,0.43
"Ujye ugaruka ku kwibanda ku bwiza butagira ubwonko... Oh, reka dutegereze, kuko warirukanywe #NBC #youlose #sorry","Ikibazo gikomeye cyavutse mu gihe cy'ifunguro ry'amafunguro, ni iki: ese uburakari bwa @realDonaldTrump ni ibimenyetso gusa by'indwara ya Alzheimer itangira hakiri kare?",0.31
imbwa ifashe inkoni mu kanwa kayo.,Umugabo wari uhagaze ku muryango asoma ikinyamakuru.,0.25
"@RedAlert -gusahura abana bataravuka bigomba kuba ari ""igitutsi"" - ni icyaha kibi cyane cyakorewe inyokomuntu. #murder","Byari byarabaye: Kuba narababajwe n'uko gutanga amashusho y'ibitsina byemewe n'amategeko, ariko kuba narababajwe n'uko ibyo bikorwa byemewe n'amategeko. #No2Trudeau",0.56
"Impamvu z' ikoranabuhanga rya IRC , ahanini ni uko ari inyongera kuri RFC 1459 .",Gutanga amakuru y'umunyamuryango nk'umuyobozi wa IRC kuri seriveri/umurongo .,0.47
Andika mu gice cyo gushakisha cyo ku rubuga rwa Yahoo... ndumva ari cyo cyatumye habaho igisubizo cya mbere,"Mu kabari k'ishakisha rya Yahoo.com, andika inyandiko igira iti ""Antonio Aguillar Biography"" hanyuma ukande ku gisubizo cy'ishakisha.",0.41
@StevenErtelt @GM_GXPfan Umugore wanjye yafashe inda akiri muto aracyicuza kugeza n'uyu munsi,@UberFacts kuko umubare munini w'abantu bakoresheje icyo gitambo cyiza cyane cyo guhitamo (#proChoice).,0.25
"Urwo rukundo rwa kera (rudahuje n'ukuri) rwatumye imibereho ya Raisa na Han iba myiza, kandi wenda rwatumye bagira imibereho myiza.","Raisa na Han bombi bagiye gutembera mu modoka ya Oden, kandi ibyo biratangaje.",0.53
Umugabo wambaye umwenda w'umuhondo asimbuka igare rye hejuru y'umugi.,"Umupira w'amaguru wambaye imyenda y'umukara n'umuhondo, yirinze umusozi ku igare rye ry'ibitaka.",0.59
"Rimwe na rimwe, ushobora kumara igihe kirekire cyane ukomeje kwihangana.","Rimwe na rimwe, uzajya ukomeza kuba umuntu ukomeye igihe kirekire.",0.88
"Jya ukomeza kugira kamere yawe buri gihe, kuko uri umwihariko.",Ibyo birashishikaje cyane kandi birantangaza ko ubyemera.,0.09
"Mu myaka ya 1590 , abana be batatu babatijwe mu rusengero rwa Oude Kerk .","Yari umuririmbyi w' ibihangano mu rusengero rwa Oude Kerk rwo muri Amsterdam , mu gihe cy' imyaka 44 .",0.22
"Nanone kandi, nshimishwa cyane n'aho ajya n'abo bantu.",Nkunda gusoma ibyerekeye umugi wacu n'uturere twagiye tumara igihe kinini.,0.38
Hari umuntu ugurisha ibintu.,Hari umugabo ukora isuku mu nzu.,0.34
Ibyo byose byavuzwe kuri Frosty na Milla byatumye mbikunda cyane.,Umunsi mukuru w'abazungu b'abapfu urimo guhura n'abantu ba Frosty na Milla.,0.53
"MURI iyi nkuru, hari ubutumwa bugufi nagiye mbwira ku rubuga rwacu rwa interineti tupac_lover_00@yahoo.com","Iyi aderesi ya email ishobora kugufasha. ""do_i_look_like_aaron@aaroncarter.com.",0.53
Abantu benshi bicaye hafi y'umuriro nijoro.,Hari abantu benshi bahagaze ku butaka nijoro.,0.59
"Umugore wambaye umwambaro w'umutuku w'umutuku, arimo ashyiraho amakarito imbere y'abantu bicaye hanze.","Umubyeyi ukiri muto w'umuhondo yicaye mu gituza, afashe uruhinja rwe rwiba impeta y'amazinyo y'amabara menshi.",0.19
"Umwe mu myitozo nkunda muri iyi nkuru, nayisomye incuro nyinshi.",Ni uburyo bwiza bwo kurangiza igice cya mbere cy'iyi nkuru.,0.56
Hanyuma ushobora guhamagara aho ushaka hose.,Hanyuma ushobora guhamagara aho ushaka hose.,0.91
"@ABC Stupid ni umusazi nk'uko abigenza! yagaragaje amabara ye y'ukuri; asa n'uwirengagiza ko Amerika yateye, &amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;","Nifuza cyane ko Donald Trump yatsinda perezida, ntashobora kugurwa nk'abandi bose, kandi akomeza kwizirika ku myizerere ye.",0.31
"Nashimishijwe n'igishushanyo mbonera cya Peter Pan, kandi mbona ibintu mu buryo burangwa n'urugomo, mu buryo bw'amashusho no mu buryo bw'ibyiyumvo.","Abakunzi ba Peter Pan cyangwa abandi bantu bose bakunda inkuru z'ibinyoma, bashobora kuba bakunze iki gitabo.",0.53
Akenshi imbeba z 'ibara ry ' ibara ry ' ururazi zikoreshwa mu bushakashatsi bw' siyansi .,"Ubusanzwe , imyizerere y' siyansi iba imeze nk' imiterere y' imiterere y' imibare .",0.38
Hari umuhungu muto uririmba kandi agakina gitari.,Umwana akina gitari.,0.78
@HomunculusLoikm @SawyerAndrew @BryanBroome1 @jstines3 Ntekereza ko abagore benshi bishimira ibyo bintu.,Nta na rimwe mu gihe cy'ingumba umubiri w'umugore utwite uhagarara kuba uwawo.,0.38
@FoxNews tugomba gusa kwihangana igihe kirekire bihagije kugira ngo uyu mupfu atazarimbura igihugu burundu,Ni byinshi birenze amakosa...kubera ko #HillaryClinton abeshya no guhisha ari uburyo bwo kubaho. @NormanSie @n2toom #tcot #uniteblue,0.28
@Jami_USA nizeye ko tutagomba kongera kuzura H8 ntawe ufite mu nshuro ya kabiri ya Hillary.,"Hillary agomba kuba yari mu kigo cya gisirikare cy'ingabo z'Amerika, ashyirwa mu maboko y'abanzi b'abasirikare!",0.28
"""Urugero rw'umugore n'umugore"" ni inkuru nkunda cyane, kandi na n'ubu narishimye cyane iyo Robin McKinley yavugaga.","Birumvikana ko Inyamaswa n'Umunyarembo bageraho bagakundana, ariko sinzi neza impamvu.",0.66
"Abazamu batinya Donald Trump, igihe kinini! @realDonaldTrump","OMG! .@KirstenPowers Mu by'ukuri, Abirabura bavuga ko abazungu ari abariganya kurusha abirabura kuko abazungu bakandamiza abirabura.",0.28
Ndizera ko igitabo gikurikira kizaba cyiza kurushaho.,"Niba ushobora, unkurire, igitabo cya Leigh na Lucian 7.",0.31
"John Schneider yarashaje cyane, naramukundaga muri porogaramu 'Duke of Hazzard!'",John Schneider yashaje neza cyane... nakunze cyane muri The Dukes of Hazzard!,0.97
"Amaze gutsinda urugamba rwo gutwara abantu , yasomye Lilian Garcia .",Lilian Garcia yakoze `` America the Beautiful ' ' mu ntangiriro y' iki gitaramo .,0.38
Imbwa irimo kuzana umupira muto w'umupira w'amaguru ku gitanda cy'umuntu.,Umwana w'umuhungu wambaye imyenda y'iburyo ashyira amaboko hejuru ari inyuma y'ameza y'inzu y'ubucuruzi.,0.22
"Nk'uko Ginger yabivuze: iyo umuntu ari umunyabwenge kandi agatsinda, ashobora kugira icyo yifuza cyose.","Nk'uko Ginger yabivuze, iyo umuntu ari umunyabwenge kandi agatsinda, ashobora kugira icyo ashaka cyose (gusa n'ikintu icyo ari cyo cyose)",0.84
Ni we watangije icyumweru cya buri mwaka cy' Ibitabo by' Igiheburayo muri Isirayeli .,Yatangije Icyumweru Cyihariye cy' Ibitabo by' Igiheburayo mu mwaka wa 1926 .,0.63
Umukobwa muto agenda ku igare rye mu cyatsi.,Umugabo akuraho imyanda mu gihe umugore akurikira inyuma.,0.33
"Uyu ni umuntu wambaye imyenda y'umusazi, ugereranya igiceri hejuru y'inkoni, ku mazuru ye.",Hari umufana w'umuhanga mu murima ufite ibiti n'abantu bari inyuma ye bashyira isanduku ku nkoni mu mazuru ye.,0.72
"ubushyuhe bwagabanutse, kimwe n'ubushyuhe bw'umutima wanjye.",Ubushyuhe bwagabanutseho degre ebyiri cyangwa eshatu.,0.66
"Umushikirizamanza w'Amerika wungirije Todd Greenberg, umushinjacyaha ushinzwe kurwanya iterabwoba mu mujyi wa Seattle, yagize ati ""turimo gukoresha imbaraga zacu zose mu iperereza"".","Twamenye uko ibintu bimeze"", ni ko umushinjacyaha w'Amerika wungirije Todd Greenberg, ushinzwe kurwanya iterabwoba i Seattle yavuze.",0.59
Umukozi wo mu ikoranabuhanga arimo asobanura uko kamera ikora.,Umugabo ugenda munsi y'umugi areba muri kamera.,0.34
"Niba wifuza gutangiza ikiganiro gishya cyangwa se kongera kubyutsa icya kera , ubikore kuri interineti .","Nyuma yo kongeramo iyi shusho , tangira igice cyo ku ipaji y' ibiganiro cy' ingingo cyerekana icyo wifuza ko uwo muhanga avuga .",0.47
"Mu buryo buhuje n'ingingo ya 204a y'Itegeko Nshinga, imimerere yavuzwe haruguru irikosorwa nk'uko ikurikira:","mu buryo buhuje n'ingingo ya 17 (1) y'Itegeko Nshinga, afata icyiciro cy'uwazamusimbuye muri iyo nshingano.",0.56
"Haming ishobora gutahura no gukosora amakosa y'urugero rwa bit imwe , kandi ishobora no gutahura amakosa y'urugero rwa bit ebyiri .","Iyo hashing code ishobora gukosora amakosa ya bits imwe , ikamenya amakosa ya bits ebyiri .",0.91
Ni ibintu by'ingenzi cyane.,"Ni mu gihe nari nkiri muto, ubwo navuganaga na mama.",0.81
Sinigeze mbyibonera ariko icyo gitabo ni kimwe mu byo nkunda cyane muri iyi nkuru,Nigeze kureba ikiganiro cya CSI: Miami ariko sinigeze mbona anywa,0.17
"Nkunda iyi nkuru ngufi, nifuzaga ko yarushaho kureshya!",Byari bigiye gusomwa vuba kandi hari igice cyanjye cyashakaga ko cyakomeza igihe kirekire.,0.84
Ushobora kumenya ko wabuze umuntu mwiza.,Ushobora kumenya ko wabuze umuntu mwiza.,1.0
Dore urubuga rw'ibikoresho by'imashini (www.Pulseofthemaggots.com).,"Um, dore urubuga rw'ibikoresho by'ubushakashatsi www.pulseofthemaggots.com !!",0.94
Abarezi n'abanyeshuri bo muri iyo myitozo bambara imyenda itukura n' itukura .,"Mu Bufaransa bwo mu majyepfo , ni ho cyane cyane abantu bakoreshaga umukino wa Francombat .",0.34
Ntibitangaje kuba uwo mugore yemeye ko agukunda cyangwa atagukunda.,Nta cyo bitwaye niba umukobwa yemera ko agukunda cyangwa atamukunda.,0.91
Donald Trump ntatinya gutwika abantu bose.,@DannyZuker Mu ijambo rimwe @realDonaldTrump yashoboye kwiyahura amafaranga.,0.5
Abayapani bumvise Hirohihita avuga ko bagiye kwiyegurira Imana kuri radiyo.,Abayapani bahawe igihano cyo kwihana mu kiganiro cya Hirohito.,0.78
"Umugabo wambaye umwenda utukura, yari ku igare rye, ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita","Umwana w'umuhungu wambaye ubusa, yiyambika agashyi akoresheje igishyimbo kugira ngo yirinde ko umuriro utamuturukaho.",0.31
Ni igihe cyo kuba #ijwi ry'abadafite ijwi.,@helenantanova Ubihindura ikintu cy'amoko gato,0.31
"Ubusanzwe , ingirabuzimafatizo z'ibimera zinyuranye n'iz'izindi ntizishobora kwigabanyamo ibice cyangwa ngo zigire ingirabuzimafatizo z'ubundi bwoko .","Urubanza rw' intoki ni ubwoko bw' uruhu rw' intoki rugizwe n' utugingo tw' intanga , aho izindi ngingo z' ibimera ziva .",0.44
Umuntu wambaye inkweto z'umukara n'ikoti ry'umukara aryamye hejuru y'icyicaro.,Umukobwa wambaye ikoti y'umuhemba ari mu rwobo rwubatswe mu bicu.,0.19
Umwana w'imbwa w'umukara arimo arahaguruka.,Hari umurongo w'amagare y'imideli ya kera yabaga akururwa n'amatungo.,0.06
@realDonaldTrump dukeneye perezida udashobora kugurwa.,"@realDonaldTrump, ujye mu ishyano wowe mugore w'umunyamadini w'amoko.",0.31
Ese itangazamakuru ry'ibumoso rigerageza gucecekesha @realDonaldTrump? HAHAHA Komeza kugerageza! Trump si umunyapolitiki w'umwuga kandi ntawe uzamugurisha!,"@GOP Niba udashobora guhangana na Trump, ntukwiye kwiyamamaza. #backurbase.",0.38
Hillary yafashe indege yihariye kugira ngo avuge ku byerekeye Umushahara & Urwego rw'Uburinganire.,".@davelevinthal Gukoresha imashini yo gusenya, ubu @hillaryclinton arushijeho gukoresha ibyo! #WakeUpAmerica #TCOT #OhHillNO!",0.44
Umugore urimo asohora ururimi rwe mu gihe ari gufotorwa.,Umugore afata ifoto y'umwana afatwa n'umugabo.,0.34
"yarashwe mu mugongo,","Oya, House yarashwe mu gihe cy'iherezo.",0.34
Kuki yamuhamagaye aho kumuhamagara mu buryo bunyuranye n'ubwo?,Sinamwumva. Ntekerezaga ko abagabo bagombye kwita abakobwa.,0.78
"Hillary avuga ko ari ""umukinnyi"" w'ibanze, ariko gahunda y'imisoro ya @RandPaul igabanya imisoro ya FICA, bigatuma ibye bigirira akamaro.","@Lawrence @TheLastWord Nta cyuho cy'ishyaka, Bwana Lawrence! -@TheHRCSuperVols @JW4Hillary @kimfrederi #Hillarylarymen",0.31
"Evan mbere y'uko uwo mubyeyi akomereka, ntiyamuretse ngo amwitegereze, none se kuki byamushimishije cyane?","Nshobora kubona impamvu Julia akunda Reece, ariko nanone mbona ko bitangaje iyo umuntu atekereje ku rukundo rwa mbere yagiranye na Evan.",0.59
Hitamo aka gasanduku kugira ngo ushyireho software ikenewe kugira ngo ufungure inyandiko z'urwo rwego.,"inyandiko y'igitabo cy'ubuhinduzi, igitabo cy'ubuhinduzi, inyandiko y'ibitabo by'ubuhinduzi, inyandiko y'ibitabo by'ubuhinduzi, inyandiko y'ibitabo by'ubuhinduzi, inyandiko z'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo by'ibitabo",0.78
Nzasuzuma inyandiko.,Nta gushidikanya ko nzasoma inyandiko y'iyo filimi yawe!,0.84
"Ni igihe cyo kuva ku magambo meza 2 ku bikorwa byiza, kuva ku marira y'amajwi 2 ku mahitamo meza #HILARYCLINTON #HillaryClinton",Gwen ari umuyobozi mwiza kandi arimo atoza umukozi mushya w'umunyamwete mu karere ka Rock Hill! #FellowsSC #HillaryForSC,0.31
Umuntu ugenda mu mpinga y'imisozi y'imisozi y'ibuye ariruka.,Umuntu urira amabuye arahagarara areba hejuru y'inyanja.,0.5
Yatoranyijwe n' ikipe ya Blackhawks mu 2006 mu mikino yo kwishyura y' igikombe cya shampiyona y' abakinnyi ba NHL .,Aba Canucks bahisemo Bourdon mu mukino wa mbere w ' igikombe cya shampiyona cya 2005 .,0.62
Umugore agenda afite telefoni mu ntoki.,Umugabo aririmba kandi agakina gitari mu gikoresho cyo gutumatumaniramo.,0.16
Hakurikiyeho umuhanda wa N212/Ingenieur Enschedeweg mu majyepfo kugeza mu muhanda wa N198/Geestdorp.,"Hakurikiyeho Tuurluur mu majyepfo, hakurikiyeho Papekopperdijk.",0.41
"Iyo mifatiro iba imeze nk' imipira mu ntoki , ikongorwa n' ibinure by ' intoki , hanyuma igatekwa .",Ibyo bimbuza byuzuye umwambaro wa falafel n' utwo dufata tw' utwo dufata .,0.59
"Nifuza cyane ko Donald Trump yatsinda perezida, ntashobora kugurwa nk'abandi bose, kandi akomeza kwizirika ku myizerere ye.",@NBCNews @realDonaldTrump cyangwa White House!! #trumpforpresident,0.66
Abakozi batatu bakoraga mu nzu.,Abakozi benshi bakora mu mirimo y'ubwubatsi bareba ahantu hatera abantu gutembera,0.56
Andrea afite ubutunzi bwinshi bitewe n'uko yatanye n'umugabo we.,"Nyuma yo gutana, Andrea yongeye kwigenga kandi aba umukire.",0.88
Numva ntangajwe n'umubare w'incuti za data.,Ndatangara cyane ku buryo data yari afite incuti nyinshi.,0.97
V ni inyuguti ya 22 mu nyuguti z'ibanze z' ikilatini .,"U ni inyuguti yo mu nyuguti z' igikiriliki , ikoreshwa mu kugaragaza ijwi ry' imvugo uretse mu gihe hari imvugo y' imvugo y' imvugo y' imvugo y' imvugo y' imvugo y' imvugo y' imvugo y' imvugo y' imvugo y' imvugo y' imvugo y' imvugo y' imvugo y' imvugo y' imvugo y' imvugo y' imvugo y' imvugo y' imvugo y' imvugo y' imvugo y' imvugo y' imvugo y' imvugo y' imvugo y' imvugo y' imvugo y' imvugo y' imvugo y' imvugo y' imvugo y' imvugo y' imvugo y' imvugo y' imvugo y' imvugo y' imvugo y' imvugo y' imvugo y' imvugo y' imvugo y' imvugo y' imvugo y' imvugo y' imvugo y' imvugo y' imvugo .",0.5
Igikoresho cyerekana ibimenyetso bya digitale ni microprocessor yihariye ifite imiterere myiza yo gukora vuba igamije gukora ibimenyetso bya digitale .,"Igikoresho cy' ikoranabuhanga ry' ibimenyetso ni ikoranabuhanga ryihariye ry' ibipimo by' ibimenyetso by' ikoranabuhanga , rikoreshwa mu gukora imashini z' ikoranabuhanga mu gihe nyacyo .",0.75
Imbwa y'umuhondo iri ku gifubiko cy'ubururu.,Umuntu arimo arohama mu mazi ashyushye y'ubururu.,0.22
Uzi icyo ari cyo cyiza kuri wowe Uzi icyo ari cyo cyiza ku byishimo byawe Uzi icyo ari cyo cyiza ku buzima bwawe,"Ni gute ushobora ""kurwanya gukuramo inda"" kandi wifuza no gukuraho ibigo byose byo kurwanya inda ku buntu bigenewe abakene?",0.31
Umuntu ukora ikoranabuhanga ryo kugendesha amagare hejuru y'umugi ushinzwe ibiti.,Imbwa ebyiri zisimbuka ziterana ku rwobo rw'ibyatsi.,0.12
Nagiye ntekereza cyane ku byo navuze kuri @realDonaldTrump,@ForQ2 ntekereza ko @realDonaldTrump adashaka cyangwa ngo yubahe abanyapolitiki. .Ndamwubaha cyane.,0.53
Abagore babiri bambaye amakanzu y'indashyikirwa y'umuco w'indashyikirwa babyina.,Abagore babiri basa n'aho basinziriye ku meza yo mu resitora.,0.44
"Umukozi w'umunyabyaha uri ku ntebe y'ubwubatsi, akora ku nzu.","Umugabo wambaye umwambaro w'umukinnyi ufite ikarita yo kwiruka ku mugongo we, yifata nk'umuntu ukora imyitozo ngororamubiri.",0.47
Imbwa y'umukara n'iy'umuhondo,Imbwa y'umukara n'imbwa y'umuhondo n'umweru bakina mu murima.,0.41
Nkunda ko Henry yicaga ku mategeko ye kugira ngo abone Kate aseka.,"Narakunze cyane Kate wari umuriro kandi ufite ubushake, kandi, Mana yanjye, nifuza kumubona cyane mu gitabo cya gatatu!",0.34
"Niba guhagarika iyo porogaramu bigakemura ikibazo uhanganye na cyo, birashoboka cyane ko iyo porogaramu ari yo iteza icyo kibazo.","iyo ikibazo cyakemutse, porogaramu ni yo ishobora kuba ari yo ituma icyo kibazo kiba.",0.78
Ndabinginze mbwira niba ubonye uwuririmba iyi ndirimbo.,"(irangira) niba ubonye uwuririmba n'izina, mbwira.",0.78
"Batsinze Shampiyona y' Isi y' Abato mu mwaka wa 2002 , maze barangiza imikino yabo y' amadayimoni .",Bahawe umudari w' amabara yose mu mikino y' isi yo mu mwaka wa 2000 kugeza mu wa 2002 .,0.66
Abasore bane basimbukaga mu rwego.,Igikoko cyitwa pitbull kiriruka kugira ngo gifate disiki iguruka.,0.16
"Umwana atembera mu bicu by'urubura, aba yambaye neza.",Umwana muto arimo aranywa ibiryo by'ibinyobwa by'umutobe.,0.25
The Buzz kuri Maggie ni irya kabiri muri serivisi za Disney Channel zisubizwa nyuma y' igihe gito .,The Buzz kuri Maggie ni ikiganiro cya televiziyo cya Disney Channel kivuga iby ' inyenzi yitwa Maggie .,0.88
dosiye irimo amashusho y'ibishushanyo.,Biragaragara ko ibyo bintu bigaragaza ko ari ukuri.,0.25
